timestamp,relative_time,pid,comm,uid,syscall,duration_us
7294.922695167,2.684610991,26107,dd,0,write,522.183
7294.923420484,2.685336308,26107,dd,0,read,42.098
7294.923545108,2.685460932,26107,dd,0,write,459.889
7294.924208362,2.686124186,26107,dd,0,read,41.839
7294.924335982,2.686251806,26107,dd,0,write,418.466
7294.924844352,2.686760176,26107,dd,0,read,43.986
7294.924975864,2.686891688,26107,dd,0,write,665.199
7294.925835578,2.687751402,26107,dd,0,read,59.408
7294.925990697,2.687906521,26107,dd,0,write,1793.654
7294.927992659,2.689908483,26107,dd,0,read,41.815
7294.928232953,2.690148777,26107,dd,0,write,1268.164
7294.929763983,2.691679807,26107,dd,0,read,42.143
7294.929918563,2.691834387,26107,dd,0,write,519.127
7294.930861872,2.692777696,26107,dd,0,read,44.060
7294.930993867,2.692909691,26107,dd,0,write,596.382
7294.931790497,2.693706321,26107,dd,0,read,46.429
7294.931921890,2.693837714,26107,dd,0,write,356.050
7294.932471807,2.694387631,26107,dd,0,read,43.858
7294.932598397,2.694514221,26107,dd,0,write,1499.228
7294.934283564,2.696199388,26107,dd,0,read,41.943
7294.934416484,2.696332308,26107,dd,0,write,770.464
7294.935386107,2.697301931,26107,dd,0,read,44.127
7294.935516508,2.697432332,26107,dd,0,write,401.810
7294.936013951,2.697929775,26107,dd,0,read,46.047
7294.936259032,2.698174856,26107,dd,0,write,684.433
7294.937166040,2.699081864,26107,dd,0,read,41.743
7294.937298892,2.699214716,26107,dd,0,write,419.406
7294.937813101,2.699728925,26107,dd,0,read,41.711
7294.937938139,2.699853963,26107,dd,0,write,967.291
7294.939113594,2.701029418,26107,dd,0,read,41.570
7294.939237127,2.701152951,26107,dd,0,write,479.256
7294.939821700,2.701737524,26107,dd,0,read,41.499
7294.939950552,2.701866376,26107,dd,0,write,536.445
7294.940683519,2.702599343,26107,dd,0,read,41.193
7294.940813825,2.702729649,26107,dd,0,write,730.459
7294.941773312,2.703689136,26107,dd,0,read,41.393
7294.941899390,2.703815214,26107,dd,0,write,923.273
7294.943012782,2.704928606,26107,dd,0,read,41.890
7294.943247680,2.705163504,26107,dd,0,write,1845.285
7294.945296883,2.707212707,26107,dd,0,read,41.895
7294.945421675,2.707337499,26107,dd,0,write,2352.815
7294.947991679,2.709907503,26107,dd,0,read,41.980
7294.948218516,2.710134340,26107,dd,0,write,1870.267
7294.950306217,2.712222041,26107,dd,0,read,43.781
7294.950440432,2.712356256,26107,dd,0,write,814.605
7294.951450297,2.713366121,26107,dd,0,read,44.600
7294.951580267,2.713496091,26107,dd,0,write,2947.303
7294.954613356,2.716529180,26107,dd,0,read,43.946
7294.954740715,2.716656539,26107,dd,0,write,2400.016
7294.957344299,2.719260123,26107,dd,0,read,42.062
7294.957469468,2.719385292,26107,dd,0,write,2492.418
7294.960172604,2.722088428,26107,dd,0,read,49.594
7294.960310577,2.722226401,26107,dd,0,write,2687.894
7294.963350878,2.725266702,26107,dd,0,read,47.476
7294.963487732,2.725403556,26107,dd,0,write,2931.447
7294.966634831,2.728550655,26107,dd,0,read,42.961
7294.966765239,2.728681063,26107,dd,0,write,2493.801
7294.969466642,2.731382466,26107,dd,0,read,41.927
7294.969592185,2.731508009,26107,dd,0,write,2497.165
7294.972293334,2.734209158,26107,dd,0,read,42.228
7294.972422993,2.734338817,26107,dd,0,write,2394.629
7294.975160707,2.737076531,26107,dd,0,read,45.847
7294.975295070,2.737210894,26107,dd,0,write,2504.816
7294.978017227,2.739933051,26107,dd,0,read,43.412
7294.978262384,2.740178208,26107,dd,0,write,3086.317
7294.981618500,2.743534324,26107,dd,0,read,47.952
