timestamp,relative_time,pid,comm,uid,syscall
4491.213746671,0.444982274,3014,gzip,0,read
4491.225180301,0.456415904,3014,gzip,0,write
4491.226964804,0.458200407,3014,gzip,0,read
4491.228821515,0.460057118,3014,gzip,0,read
4491.231597192,0.462832795,3014,gzip,0,read
4491.234031361,0.465266964,3014,gzip,0,read
4491.236492406,0.467728009,3014,gzip,0,read
4491.239032559,0.470268162,3014,gzip,0,read
4491.241514573,0.472750176,3014,gzip,0,read
4491.244985702,0.476221305,3014,gzip,0,read
4491.246518565,0.477754168,3014,gzip,0,write
4491.248584849,0.479820452,3014,gzip,0,read
4491.251317274,0.482552877,3014,gzip,0,read
4491.253381675,0.484617278,3014,gzip,0,read
4491.256262582,0.487498185,3014,gzip,0,read
4491.258557923,0.489793526,3014,gzip,0,read
4491.261425889,0.492661492,3014,gzip,0,read
4491.263705275,0.494940878,3014,gzip,0,read
4491.266598360,0.497833963,3014,gzip,0,read
4491.267557634,0.498793237,3014,gzip,0,write
4491.269292288,0.500527891,3014,gzip,0,read
4491.271527307,0.502762910,3014,gzip,0,read
4491.273560158,0.504795761,3014,gzip,0,read
4491.277421653,0.508657256,3014,gzip,0,read
4491.280581483,0.511817086,3014,gzip,0,read
4491.282697589,0.513933192,3014,gzip,0,read
4491.285698152,0.516933755,3014,gzip,0,read
4491.287850444,0.519086047,3014,gzip,0,read
4491.290669288,0.521904891,3014,gzip,0,write
4491.292728867,0.523964470,3014,gzip,0,read
4491.296187855,0.527423458,3014,gzip,0,read
4491.298552468,0.529788071,3014,gzip,0,read
4491.301560324,0.532795927,3014,gzip,0,read
4491.303359440,0.534595043,3014,gzip,0,read
4491.306454409,0.537690012,3014,gzip,0,read
4491.308318996,0.539554599,3014,gzip,0,read
4491.310658979,0.541894582,3014,gzip,0,read
4491.312519255,0.543754858,3014,gzip,0,write
4491.314593085,0.545828688,3014,gzip,0,read
4491.316955921,0.548191524,3014,gzip,0,read
4491.319704535,0.550940138,3014,gzip,0,read
4491.322822329,0.554057932,3014,gzip,0,read
4491.325522339,0.556757942,3014,gzip,0,read
4491.328711513,0.559947116,3014,gzip,0,read
4491.331693294,0.562928897,3014,gzip,0,read
4491.333431722,0.564667325,3014,gzip,0,read
4491.335602958,0.566838561,3014,gzip,0,write
4491.338628903,0.569864506,3014,gzip,0,read
4491.342293742,0.573529345,3014,gzip,0,read
4491.346610138,0.577845741,3014,gzip,0,read
4491.349368391,0.580603994,3014,gzip,0,read
4491.352700816,0.583936419,3014,gzip,0,read
4491.357400680,0.588636283,3014,gzip,0,read
4491.359658805,0.590894408,3014,gzip,0,read
4491.364792063,0.596027666,3014,gzip,0,read
4491.367454473,0.598690076,3014,gzip,0,write
4491.369796063,0.601031666,3014,gzip,0,read
4491.375139095,0.606374698,3014,gzip,0,read
4491.377719216,0.608954819,3014,gzip,0,read
4491.381019901,0.612255504,3014,gzip,0,read
4491.384480799,0.615716402,3014,gzip,0,read
4491.387598530,0.618834133,3014,gzip,0,read
4491.389357146,0.620592749,3014,gzip,0,read
4491.392375824,0.623611427,3014,gzip,0,read
4491.393483614,0.624719217,3014,gzip,0,write
4491.395277580,0.626513183,3014,gzip,0,read
4491.398612634,0.629848237,3014,gzip,0,read
4491.401444331,0.632679934,3014,gzip,0,read
4491.403387533,0.634623136,3014,gzip,0,read
4491.405232286,0.636467889,3014,gzip,0,read
4491.407798700,0.639034303,3014,gzip,0,read
4491.410528538,0.641764141,3014,gzip,0,read
4491.412606688,0.643842291,3014,gzip,0,read
4491.413489399,0.644725002,3014,gzip,0,write
4491.416164741,0.647400344,3014,gzip,0,read
4491.420320860,0.651556463,3014,gzip,0,read
4491.422579498,0.653815101,3014,gzip,0,read
4491.425851791,0.657087394,3014,gzip,0,read
4491.428612327,0.659847930,3014,gzip,0,read
4491.430569184,0.661804787,3014,gzip,0,read
4491.433448901,0.664684504,3014,gzip,0,read
4491.435446258,0.666681861,3014,gzip,0,read
4491.437617609,0.668853212,3014,gzip,0,write
4491.439416244,0.670651847,3014,gzip,0,read
4491.441296479,0.672532082,3014,gzip,0,read
4491.443532289,0.674767892,3014,gzip,0,read
4491.446642363,0.677877966,3014,gzip,0,read
4491.448979378,0.680214981,3014,gzip,0,read
4491.452348415,0.683584018,3014,gzip,0,read
4491.454600097,0.685835700,3014,gzip,0,read
4491.456449737,0.687685340,3014,gzip,0,read
4491.457522529,0.688758132,3014,gzip,0,write
4491.459526358,0.690761961,3014,gzip,0,read
4491.461401549,0.692637152,3014,gzip,0,read
4491.464405955,0.695641558,3014,gzip,0,read
4491.477071385,0.708306988,3014,gzip,0,read
4491.479589889,0.710825492,3014,gzip,0,read
4491.482437304,0.713672907,3014,gzip,0,read
4491.484792420,0.716028023,3014,gzip,0,read
4491.487693008,0.718928611,3014,gzip,0,read
4491.488503895,0.719739498,3014,gzip,0,write
4491.490537741,0.721773344,3014,gzip,0,read
4491.492241518,0.723477121,3014,gzip,0,read
4491.494445327,0.725680930,3014,gzip,0,read
4491.497964107,0.729199710,3014,gzip,0,read
4491.500917489,0.732153092,3014,gzip,0,read
4491.503789392,0.735024995,3014,gzip,0,read
4491.507753118,0.738988721,3014,gzip,0,read
4491.510381557,0.741617160,3014,gzip,0,read
4491.512527848,0.743763451,3014,gzip,0,write
4491.516701111,0.747936714,3014,gzip,0,read
4491.521841590,0.753077193,3014,gzip,0,read
4491.524654284,0.755889887,3014,gzip,0,read
4491.526348833,0.757584436,3014,gzip,0,read
4491.528276393,0.759511996,3014,gzip,0,read
4491.530422476,0.761658079,3014,gzip,0,read
4491.533416492,0.764652095,3014,gzip,0,read
4491.535346608,0.766582211,3014,gzip,0,read
4491.536558790,0.767794393,3014,gzip,0,write
4491.538402569,0.769638172,3014,gzip,0,read
4491.540268929,0.771504532,3014,gzip,0,read
4491.542223344,0.773458947,3014,gzip,0,read
4491.544398937,0.775634540,3014,gzip,0,read
4491.546372036,0.777607639,3014,gzip,0,read
4491.548586995,0.779822598,3014,gzip,0,read
4491.550282529,0.781518132,3014,gzip,0,read
4491.552428647,0.783664250,3014,gzip,0,read
4491.553522272,0.784757875,3014,gzip,0,write
4491.555479865,0.786715468,3014,gzip,0,read
4491.557643645,0.788879248,3014,gzip,0,read
4491.561742540,0.792978143,3014,gzip,0,read
4491.563404486,0.794640089,3014,gzip,0,read
4491.565447052,0.796682655,3014,gzip,0,read
4491.567450273,0.798685876,3014,gzip,0,read
